Date,Open,High,Low,Close,Stock,putIV,dt
2020-12-23,632.2,651.49,622.57,645.98,TSLA,0.6482884292602539,
2020-12-07,22.23,47.75,21.34,46.56,LYFT,0.5300339965820313,
2020-12-08,46.04,47.9,46.04,46.52,LYFT,0.5300339965820313,
2020-12-09,47.23,48.75,46.23,47.53,LYFT,0.5300339965820313,
2020-12-10,46.65,48.65,45.81,48.11,LYFT,0.5300339965820313,
2020-12-11,48.03,49.17,46.43,46.87,LYFT,0.5300339965820313,
2020-12-14,47.62,48.4,46.63,46.77,LYFT,0.5300339965820313,
2020-12-15,46.99,49.33,46.97,49.3,LYFT,0.5300339965820313,
2020-12-16,49.3,50.37,49.3,49.91,LYFT,0.5300339965820313,
2020-12-17,49.85,50.55,49.1,49.47,LYFT,0.5300339965820313,
2020-12-18,49.43,50.15,48.55,49.98,LYFT,0.5300339965820313,
2020-12-21,48.01,50.36,47.65,49.91,LYFT,0.5300339965820313,
2020-12-22,50.11,50.18,48.93,49.51,LYFT,0.5300339965820313,
2020-12-23,49.75,50.55,49.52,50.07,LYFT,0.5300339965820313,
2020-12-07,158.55,222.19,152.52,219.46,SPLK,0.44836977416992185,
2020-12-08,155.93,161.25,154.29,160.97,SPLK,0.44836977416992185,
2020-12-09,162.8,163.0,153.3,155.59,SPLK,0.44836977416992185,
2020-12-10,154.97,155.74,152.4,153.49,SPLK,0.44836977416992185,
2020-12-11,153.85,156.45,151.91,155.25,SPLK,0.44836977416992185,
2020-12-14,155.3,159.76,155.3,159.38,SPLK,0.44836977416992185,
2020-12-15,160.0,161.81,158.35,161.8,SPLK,0.44836977416992185,
2020-12-16,161.8,163.3,159.54,162.34,SPLK,0.44836977416992185,
2020-12-17,163.66,166.46,162.76,166.26,SPLK,0.44836977416992185,
2020-12-18,167.6,168.18,164.16,165.89,SPLK,0.44836977416992185,
2020-12-21,164.97,174.93,164.53,174.37,SPLK,0.44836977416992185,
2020-12-22,174.75,177.86,172.48,177.0,SPLK,0.44836977416992185,
2020-12-23,177.56,185.68,177.5,182.55,SPLK,0.44836977416992185,
2020-12-07,222.79,306.0,219.34,304.29,PANW,0.34632001342773433,
2020-12-08,303.45,315.11,303.01,310.22,PANW,0.34632001342773433,
2020-12-09,306.59,308.68,298.53,302.15,PANW,0.34632001342773433,
2020-12-10,301.4,307.98,300.0,307.87,PANW,0.34632001342773433,
2020-12-11,308.0,311.47,306.05,309.93,PANW,0.34632001342773433,
2020-12-14,310.7,315.4,310.7,314.28,PANW,0.34632001342773433,
2020-12-15,316.8,318.7,315.05,317.45,PANW,0.34632001342773433,
2020-12-16,322.97,327.81,321.12,323.33,PANW,0.34632001342773433,
2020-12-17,324.51,332.77,324.51,331.4,PANW,0.34632001342773433,
2020-12-18,341.48,357.49,338.0,355.53,PANW,0.34632001342773433,
2020-12-21,351.5,356.9,347.29,356.02,PANW,0.34632001342773433,
2020-12-22,358.09,372.5,356.94,372.06,PANW,0.34632001342773433,
2020-12-23,374.99,375.0,364.21,364.82,PANW,0.34632001342773433,
2020-12-07,100.0,144.08,97.48,143.28,ESTC,0.5200853656005859,
2020-12-08,141.91,146.41,141.67,145.83,ESTC,0.5200853656005859,
2020-12-09,146.95,147.0,136.43,138.29,ESTC,0.5200853656005859,
2020-12-10,136.0,142.38,135.72,142.07,ESTC,0.5200853656005859,
2020-12-11,143.21,143.21,139.33,141.48,ESTC,0.5200853656005859,
2020-12-14,142.07,143.23,139.18,139.5,ESTC,0.5200853656005859,
2020-12-15,140.0,141.06,136.53,137.68,ESTC,0.5200853656005859,
2020-12-16,138.95,143.83,137.31,143.49,ESTC,0.5200853656005859,
2020-12-17,144.94,149.16,144.04,147.53,ESTC,0.5200853656005859,
2020-12-18,148.0,153.88,147.82,153.55,ESTC,0.5200853656005859,
2020-12-21,151.81,157.12,150.2,156.21,ESTC,0.5200853656005859,
2020-12-22,155.8,159.46,154.81,159.08,ESTC,0.5200853656005859,
2020-12-23,159.0,159.95,154.03,157.03,ESTC,0.5200853656005859,
2020-12-08,60.27,94.36,59.35,93.91,SPG,0.4978077563476563,
2020-12-09,90.62,92.16,89.19,90.84,SPG,0.4978077563476563,
2020-12-10,89.12,90.96,89.08,90.44,SPG,0.4978077563476563,
2020-12-11,89.21,89.93,86.29,87.9,SPG,0.4978077563476563,
2020-12-14,90.0,90.18,86.76,87.32,SPG,0.4978077563476563,
2020-12-15,88.44,89.76,87.22,89.74,SPG,0.4978077563476563,
2020-12-16,88.34,90.3,88.13,88.28,SPG,0.4978077563476563,
2020-12-17,89.19,89.23,87.49,89.03,SPG,0.4978077563476563,
2020-12-18,88.74,89.07,84.92,85.43,SPG,0.4978077563476563,
2020-12-21,83.95,84.5,82.25,83.65,SPG,0.4978077563476563,
2020-12-22,85.5,85.56,82.02,83.72,SPG,0.4978077563476563,
2020-12-23,83.34,85.25,83.21,83.65,SPG,0.4978077563476563,
2020-12-07,246.5,297.38,245.62,294.68,FB,0.4356135540771484,
2020-12-08,286.01,286.43,281.55,283.4,FB,0.4356135540771484,
2020-12-09,283.66,287.63,271.75,277.92,FB,0.4356135540771484,
2020-12-10,275.54,278.73,271.86,277.12,FB,0.4356135540771484,
2020-12-11,274.53,276.48,270.25,273.55,FB,0.4356135540771484,
2020-12-14,273.37,277.22,271.56,274.19,FB,0.4356135540771484,
2020-12-15,274.83,276.08,267.47,275.55,FB,0.4356135540771484,
2020-12-16,274.76,277.86,272.51,275.67,FB,0.4356135540771484,
2020-12-17,277.07,280.44,273.61,274.48,FB,0.4356135540771484,
2020-12-18,275.77,278.0,271.14,276.4,FB,0.4356135540771484,
2020-12-21,272.98,274.67,267.79,272.79,FB,0.4356135540771484,
2020-12-22,271.5,271.5,264.63,267.09,FB,0.4356135540771484,
2020-12-23,271.5,272.17,266.25,268.11,FB,0.4356135540771484,
2020-12-07,7.0,40.9,7.0,37.61,JMIA,1.201175869140625,
2020-12-08,34.09,36.47,32.56,35.5,JMIA,1.201175869140625,
2020-12-09,35.72,37.62,32.52,33.47,JMIA,1.201175869140625,
2020-12-10,32.19,38.22,31.91,37.81,JMIA,1.201175869140625,
2020-12-11,38.0,40.78,36.07,38.13,JMIA,1.201175869140625,
2020-12-14,39.26,39.8,36.42,37.03,JMIA,1.201175869140625,
2020-12-15,36.83,38.44,35.15,36.29,JMIA,1.201175869140625,
2020-12-16,36.2,41.0,36.02,39.29,JMIA,1.201175869140625,
2020-12-17,39.34,40.92,38.52,39.14,JMIA,1.201175869140625,
2020-12-18,39.36,43.71,37.7,42.51,JMIA,1.201175869140625,
2020-12-21,41.9,44.48,41.03,41.76,JMIA,1.201175869140625,
2020-12-22,42.62,48.16,42.25,47.67,JMIA,1.201175869140625,
2020-12-23,48.37,49.0,44.13,46.44,JMIA,1.201175869140625,
2020-12-07,229.99,341.7,227.71,337.88,TWLO,0.5103503555297851,
2020-12-08,311.0,326.24,308.59,320.8,TWLO,0.5103503555297851,
2020-12-09,319.23,321.95,305.61,312.54,TWLO,0.5103503555297851,
2020-12-10,310.26,338.61,307.93,334.51,TWLO,0.5103503555297851,
2020-12-11,333.15,346.0,330.25,342.41,TWLO,0.5103503555297851,
2020-12-14,344.6,358.18,344.1,350.09,TWLO,0.5103503555297851,
2020-12-15,349.75,356.87,342.13,345.1,TWLO,0.5103503555297851,
2020-12-16,346.2,352.75,340.72,350.88,TWLO,0.5103503555297851,
2020-12-17,356.5,365.0,353.21,361.07,TWLO,0.5103503555297851,
2020-12-18,369.32,369.39,359.44,365.03,TWLO,0.5103503555297851,
2020-12-21,361.21,369.37,357.45,364.82,TWLO,0.5103503555297851,
2020-12-22,369.46,374.49,360.89,370.75,TWLO,0.5103503555297851,
2020-12-23,371.0,373.5,358.09,363.28,TWLO,0.5103503555297851,
2020-12-07,312.89,383.54,303.21,377.52,LULU,0.38019418640136715,
